,Ticker,EBIT/EV,FCF/EV,Sales/EV,E/P,E/EV,Debt/Equity,Passes Graham test,Enterprise Value (M),Market cap (M),Net income (M),Operating income (M),Dividend Yield (%),Shareholder Yield (%),Buyback Yield (%),overperformer
168,CCL,-0.10911137285434654,-0.16473873334107597,0.3032837588543954,-0.5115808882179387,-0.15185372197385413,4.2111230457095115,False,40124.14,11910.14,-6093.0,-4378.0,-0.0,-0.0,-0.0,1.0
169,CARR,0.04439047997079883,0.025570976858437785,0.3756726031842863,0.0737163743193717,0.06501282893361088,1.3147371364653244,False,54358.502,47940.502,3534.0,2413.0,1.06173272576571,3.9403008231265746,2.8785680973608643,1.0
170,CRI,0.1033493976618953,0.01277906139195867,0.8553807996952216,0.09784566225996995,0.06657188891644399,1.6773948810076604,False,3755.91,2555.433,250.038,388.171,4.622035333234081,16.619886264660508,11.997850931426425,0.0
171,CASY,0.05586456250780168,0.0518872570870634,1.4538697953610147,0.045013216958967026,0.038139882850162614,0.7028179287291086,False,8909.047,7548.672,339.79,497.7,0.6784239874341856,,,1.0
172,CTLT,0.04468301690260878,-0.0130793996496378,0.2857345769613181,0.0398470609913396,0.030715875195303253,0.8972340425531915,False,16896.8,13024.8,519.0,755.0,0.030710644309317612,0.030710644309317612,0,0.0
173,CAT,0.076396734415096,0.044709698348941104,0.5142177750691935,0.07852320905995448,0.05801790737945618,2.342697710217433,False,115567.767,85388.767,6705.0,8829.0,2.8575187189603124,7.811331907977575,4.9538131890172625,0.0
174,CAVA,-0.006962656536541834,-0.02007405977395172,0.11521756652207224,-0.012685434386086452,-0.012047703758316021,-0.7396003968613565,False,4896.12,4649.979,-58.987,-34.09,0,0.019591487489997384,0.019591487489997384,0.0
175,CBOE,0.06568168794264681,0.04002224039621502,0.26793174126233243,0.017852550368598567,0.015906014701692086,0.6046511627906976,False,14774.285,13163.385,235.0,970.4,1.5907761902912936,2.3572963316494193,0.7665201413581256,1.0
176,CBRE,0.0540944080608885,0.05583763636689302,1.2574446874367209,0.06575142455594356,0.05740482055832232,0.5339317502763102,False,24516.582,21404.403,1407.37,1326.21,0,8.821783000757472,8.821783000757472,0.0
177,CCCS,0.00832015875112877,0.024349948830679157,0.12538214195337627,0.006805875972867395,0.006154308712989705,0.4205638061891357,False,6240.506,5643.065,38.406,51.922,-0.0,,,1.0
178,CDW,0.06308573901642091,0.04392224602682002,0.863418793326,0.052775823643796294,0.040519280851660386,5.107390648567119,False,27505.424,21117.624,1114.5,1735.2,1.3382187314254672,1.3382187314254672,-0.0,1.0
179,CE,0.10913980302483572,0.10076873274941417,0.7638996488127612,0.19342995842037886,0.1495736519023436,2.533737373737374,False,12662.658,9791.658,1894.0,1382.0,3.033194173751453,3.2068113486799876,0.17361717492853435,1.0
180,CELH,-0.02517416010123361,0.015940024011223373,0.10427013604987732,-0.02730408968376975,-0.029877295150722953,0.0015691163510521678,False,6268.372,6859.119,-187.282,-157.801,0.16803907353356443,0.16803907353356443,0,1.0
181,COR,0.0911148636618283,0.07302299526168884,7.894949545552335,0.060877468308070004,0.056214705116737235,-19.679599287745354,False,30220.207,27905.563,1698.82,2753.51,1.403616211793069,3.13697671676044,1.733360504967371,1.0
